ETid,Country,Date,Fine,Fine_cleaned,Controller,Quoted_Art,Type,Source,year
ETid-1503,ROMANIA,2022-11-25,"3,000",3000,OTP LEASING ROMANIA IFN SA,"Art. 25 (1) GDPR, Art. 32 (1) b) GDPR, Art. 32 (2) GDPR",Insufficient technical and organisational measures to ensure information security,link,2022
ETid-1469,ITALY,2022-09-15,"3,000",3000,Thiene municipality,"Art. 5 (1) a), c) GDPR, Art. 6 GDPR, Art. 2-ter Codice della privacy",Insufficient legal basis for data processing,link,2022
ETid-1453,GREECE,2022-09-22,"3,000",3000,Gas station,"Art. 12 GDPR, Art. 14 GDPR",Insufficient fulfilment of data subjects rights,link,2022
ETid-1416,ITALY,2022-07-21,"3,000",3000,Azienda Socio Sanitaria Territoriale Rhodense,"Art. 5 (1) f) GDPR, Art. 32 GDPR",Insufficient technical and organisational measures to ensure information security,link,2022
ETid-1404,SPAIN,2022-09-23,"3,000",3000,Private individual,"Art. 5 (1) c) GDPR, Art. 13 GDPR",Non-compliance with general data processing principles,link,2022
ETid-1400,SPAIN,2022-09-16,"3,000",3000,"MARIELI GABRIELA, S.L.",Art. 6 (1) GDPR,Insufficient legal basis for data processing,link,2022
ETid-1375,SPAIN,2022-08-30,"3,000",3000,"COLEGIO VILLAEUROPA, S.C.L",Art. 13 GDPR,Insufficient fulfilment of information obligations,link,2022
ETid-1324,SPAIN,2022-07-29,"3,000",3000,"ESTUDIOS EUROPEOS DE POSTGRADO Y EMPRESA, S.L.","Art. 5 (1) f) GDPR, Art. 32 (1) GDPR",Insufficient technical and organisational measures to ensure information security,link,2022
ETid-1306,LUXEMBOURG,2022-06-22,"3,000",3000,Company,"Art. 5 (1) c) GDPR, Art. 13 GDPR",Non-compliance with general data processing principles,link,2022
ETid-1262,SPAIN,2022-07-06,"3,000",3000,ASOCIACIÓN DE AFICIONADOS Y PEQUEÑOS ACCIONISTAS UNIDAD HERCULANA,"Art. 5 (1) c) GDPR, Art. 13 GDPR",Non-compliance with general data processing principles,link,2022
ETid-1251,GREECE,2022-06-29,"3,000",3000,Pediatric psychologist,Art. 31 GDPR,Insufficient cooperation with supervisory authority,link,2022
ETid-1249,SPAIN,2022-06-28,"3,000",3000,"FLY FUT, S.L.",Art. 6 (1) GDPR,Insufficient legal basis for data processing,link,2022
ETid-1242,ITALY,2022-05-22,"3,000",3000,Zito Auto di Gianfranco Zito,"Art. 5 (1) a), c) GDPR, Art. 114 Codice della privacy",Non-compliance with general data processing principles,link,2022
ETid-1230,ROMANIA,2022-06-15,"3,000",3000,S.C. Wine Point S.R.L.,Art. 32 (1) b) GDPR,Insufficient technical and organisational measures to ensure information security,link,2022
ETid-1202,SPAIN,2022-06-03,"3,000",3000,"LODEJU, S.L.","Art. 5 (1) c) GDPR, Art. 13 GDPR",Non-compliance with general data processing principles,link,2022
ETid-1086,SPAIN,2022-02-22,"3,000",3000,Hotel operator,"Art. 5 (1) c) GDPR, Art. 13 GDPR",Non-compliance with general data processing principles,link,2022
ETid-1083,ROMANIA,2022-02-22,"3,000",3000,IAMSAT Muntenia SA,"Art. 12 GDPR, Art. 13 GDPR, Art. 21 GDPR",Insufficient fulfilment of data subjects rights,link,2022
ETid-1044,GERMANY,2020,"3,000",3000,Restaurant,Art. 5 (1) c) GDPR,Non-compliance with general data processing principles,link,2020
ETid-1006,ROMANIA,2022-01-20,"3,000",3000,Kaufland România SCS,Art. 15 (3) GDPR,Insufficient fulfilment of data subjects rights,link,2022
ETid-982,SPAIN,2022-01-11,"3,000",3000,Property Owner Community,Art. 5 (1) c) GDPR,Non-compliance with general data processing principles,link,2022
ETid-951,AUSTRIA,2021-02-12,"3,000",3000,Unknown,Art. 31 GDPR,Insufficient cooperation with supervisory authority,link,2021
ETid-913,SPAIN,2021-11-23,"3,000",3000,FUENSANTA S.L.,Art. 58 (1) GDPR,Insufficient cooperation with supervisory authority,link,2021
ETid-911,SPAIN,2021-11-22,"3,000",3000,Unknown,Art. 13 GDPR,Insufficient fulfilment of information obligations,link,2021
ETid-900,SPAIN,2021-11-12,"3,000",3000,AD735 DATA MEDIA ADVERTISING S.L.,Art. 58 (1) GDPR,Insufficient cooperation with supervisory authority,link,2021
ETid-885,SPAIN,2021-10-25,"3,000",3000,"MERCEDES GERENCIA, S.L.",Art. 58 (1) GDPR,Insufficient cooperation with supervisory authority,link,2021
ETid-854,SPAIN,2021-09-28,"3,000",3000,Bar owner,Art. 5 (1) b) GDPR,Non-compliance with general data processing principles,link,2021
ETid-848,SPAIN,2021-09-24,"3,000",3000,Unknown,Art. 13 GDPR,Insufficient fulfilment of information obligations,link,2021
ETid-837,FRANCE,2021-09-15,"3,000",3000,Société nouvelle de l’annuaire français,"Art. 16 GDPR, Art. 17 GDPR, Art. 30 GDPR, Art. 31 GDPR",Insufficient fulfilment of data subjects rights,link link,2021
ETid-816,ROMANIA,2021-08-24,"3,000",3000,Actamedica SRL,"Art. 28 (1) GDPR, Art. 32 GDPR, Art. 33 GDPR",Insufficient technical and organisational measures to ensure information security,link,2021
ETid-799,SPAIN,2021-07-27,"3,000",3000,"INSTAPACK, S.L.","Art. 5 (1) a) GDPR, Art. 6 (1) a) GDPR",Insufficient legal basis for data processing,link,2021
ETid-798,SPAIN,2021-07-27,"3,000",3000,"UST GLOBAL ESPAÑA, S.A.",Art. 5 (1) f) GDPR,Non-compliance with general data processing principles,link,2021
ETid-797,SPAIN,2021-08-05,"3,000",3000,Private Individual,Art. 5 (1) c) GDPR,Non-compliance with general data processing principles,link,2021
ETid-789,SPAIN,2021-08-02,"3,000",3000,Club Náutico el Estacio,Art. 32 GDPR,Insufficient technical and organisational measures to ensure information security,link,2021
ETid-779,SPAIN,2021-07-29,"3,000",3000,"UNIVERSIDAD A DISTANCIA DE MADRID, S.A.","Art. 17 (1) GDPR, Art. 21 LSSI",Insufficient fulfilment of data subjects rights,link,2021
ETid-769,POLAND,2021-06-30,"3,000",3000,Fundację Promocji Mediacji i Edukacji Prawnej Lex Nostra,"Art. 33 (1) GDPR, Art. 34 (1) GDPR",Insufficient fulfilment of data breach notification obligations,link,2021
ETid-702,SPAIN,2021-05-21,"3,000",3000,Homeowners Association,"Art. 5 (1) c) GDPR, Art. 12 GDPR",Non-compliance with general data processing principles,link,2021
ETid-697,SPAIN,2021-05-26,"3,000",3000,"Vodafone España, S.A.U.",Art. 58 (1) GDPR,Insufficient cooperation with supervisory authority,link,2021
ETid-690,SPAIN,2021-05-21,"3,000",3000,Physician,Art. 6 GDPR,Insufficient legal basis for data processing,link,2021
ETid-673,SPAIN,2021-05-12,"3,000",3000,Solram T Y R S.L.,Art. 17 GDPR,Insufficient fulfilment of data subjects rights,link,2021
ETid-657,SPAIN,2021-04-27,"3,000",3000,Pagamastarde S.L.,"Art. 17 (1) GDPR, Art. 21 LSSI",Insufficient fulfilment of data subjects rights,link,2021
ETid-647,ITALY,2021-03-11,"3,000",3000,Comune di San Marco in Lamis,"Art. 5 (1) a), c) GDPR, Art. 6 (1) c), e) GDPR, Art. 6 (2) GDPR, Art. 6 (3) b) GDPR",Insufficient legal basis for data processing,link,2021
ETid-635,SPAIN,2021-04-15,"3,000",3000,Private Individual,"Art. 5 (1) c) GDPR, Art. 13 GDPR",Non-compliance with general data processing principles,link,2021
ETid-622,SPAIN,2021-04-05,"3,000",3000,Electrotecnica Bastida S.L.,Art. 32 (1) GDPR,Insufficient technical and organisational measures to ensure information security,link,2021
ETid-621,SPAIN,2021-04-05,"3,000",3000,Kukimbia S.L.,Art. 32 (1) GDPR,Insufficient technical and organisational measures to ensure information security,link,2021
ETid-604,SPAIN,2021-03-18,"3,000",3000,Asesoría Alpi-Clúa S.L.,"Art. 5 (1) f) GDPR, Art. 32 (1) GDPR",Non-compliance with general data processing principles,link,2021
ETid-602,SPAIN,2021-03-15,"3,000",3000,Cultural association,Art. 6 (1) a) GDPR,Insufficient legal basis for data processing,link,2021
ETid-572,LITHUANIA,2021-02-26,"3,000",3000,IT sprendimai sėkmei,"Art. 5 (1), (2) GDPR, Art. 13 GDPR, Art. 24 GDPR, Art. 32 GDPR, Art. 35 GDPR, Art. 58 (2) f) GDPR",Non-compliance with general data processing principles,link,2021
ETid-546,SPAIN,2021-02-08,"3,000",3000,Patio Ancestral S.L.,Art. 6 GDPR,Insufficient legal basis for data processing,link,2021
ETid-543,ITALY,2020-11-26,"3,000",3000,Charly Mike s.r.l.,"Art. 5 (1) a) GDPR, Art. 13 GDPR",Insufficient legal basis for data processing,link,2020
ETid-542,SPAIN,2021-02-01,"3,000",3000,"IDFINANCE Spain, S.L.",Art. 5 (1) f) GDPR,Insufficient technical and organisational measures to ensure information security,link,2021
ETid-505,ROMANIA,2020-12-30,"3,000",3000,ING Bank N.V. Amsterdam - Bucharest office,"Art. 5 (1) a) - d) GDPR, Art. 6 (1) GDPR",Insufficient legal basis for data processing,link,2020
ETid-490,FRANCE,2020-12-17,"3,000",3000,Doctor,"Art. 32 GDPR, Art. 33 GDPR",Insufficient technical and organisational measures to ensure information security,link link,2020
ETid-464,SPAIN,2020-12-02,"3,000",3000,"Comercio Online Levante, S.L.","Art. 5 (1) f) GDPR, Art. 32 GDPR",Insufficient technical and organisational measures to ensure information security,link,2020
ETid-441,SPAIN,2020-11-10,"3,000",3000,"Miguel Ibáñez Bezanilla, S.L.","Art. 13 GDPR, Art. 32 GDPR",Insufficient technical and organisational measures to ensure information security,link,2020
ETid-423,SPAIN,2020-10-03,"3,000",3000,"Avata Hispania, S.L.","Art. 5 GDPR, Art. 6 GDPR, Art. 28 (3) g) GDPR",Insufficient legal basis for data processing,link,2020
ETid-420,ROMANIA,2020-10-15,"3,000",3000,S.C. Marsorom S.R.L.,Art. 32 GDPR,Insufficient technical and organisational measures to ensure information security,link,2020
ETid-414,SPAIN,2020-09-30,"3,000",3000,"Venu Sanz Chef, S.L.","Art. 5 GDPR, Art. 6 GDPR",Insufficient legal basis for data processing,link,2020
ETid-412,ROMANIA,2020-10-01,"3,000",3000,Megareduceri TV S.R.L.,"Art. 31 GDPR, Art. 58 GDPR",Insufficient cooperation with supervisory authority,link,2020
ETid-397,SPAIN,2020-09-17,"3,000",3000,Grupo Carolizan,Art. 5 GDPR,Non-compliance with general data processing principles,link,2020
ETid-393,GREECE,2020-08-03,"3,000",3000,Candidate for parliamentary elections,Art. 15 GDPR,Insufficient fulfilment of data subjects rights,link,2020
ETid-390,SPAIN,2020-09-07,"3,000",3000,Barcelona Airport Security Guard Association ('AVSAB'),Art. 5 (1) f) GDPR,Non-compliance with general data processing principles,link,2020
ETid-380,BELGIUM,2020-07-28,"3,000",3000,Communal political association,"Art. 5 GDPR, Art. 6 GDPR, Art. 14 GDPR",Insufficient legal basis for data processing,link,2020
ETid-378,ITALY,2020-07-29,"3,000",3000,Community of San Giorgio Jonico,"Art. 5 GDPR, Art. 6 GDPR",Insufficient legal basis for data processing,link,2020
ETid-371,SPAIN,2020-08-05,"3,000",3000,Restaurant,"Art. 5 (1) c) GDPR, Art. 12 GDPR, Art. 13 GDPR",Non-compliance with general data processing principles,link,2020
ETid-369,SPAIN,2020-08-06,"3,000",3000,Just Landed S.L.,Art. 13 GDPR,Insufficient fulfilment of information obligations,link,2020
ETid-368,ITALY,2020-08-06,"3,000",3000,GTL S.R.L.,"Art. 12 GDPR, Art. 15 GDPR",Insufficient fulfilment of data subjects rights,link,2020
ETid-364,SPAIN,2020-08-06,"3,000",3000,GROW BEATS SL,"Art. 12 GDPR, Art. 13 GDPR, Art. 14 GDPR",Insufficient fulfilment of information obligations,link,2020
ETid-325,ITALY,2020-03-05,"3,000",3000,San Giorgio Jonico,"Art. 5 GDPR, Art. 6 GDPR, Art. 17 GDPR",Insufficient legal basis for data processing,link,2020
ETid-312,ROMANIA,2020-06-11,"3,000",3000,Telekom Romania,Art. 32 GDPR,Insufficient technical and organisational measures to ensure information security,link,2020
ETid-301,ROMANIA,2020-04-23,"3,000",3000,Telekom Romania Communications SA,Art. 32 GDPR,Insufficient technical and organisational measures to ensure information security,link,2020
ETid-298,SPAIN,2020-06-09,"3,000",3000,Salad Market S.L. (Catering Company),"Art. 13 GDPR, Art. 14 GDPR",Insufficient fulfilment of information obligations,link,2020
ETid-297,ROMANIA,2020-04-23,"3,000",3000,Estee Lauder Romania,"Art. 6 GDPR, Art. 7 GDPR, Art. 9 GDPR",Insufficient legal basis for data processing,link,2020
ETid-264,ROMANIA,2020-03-25,"3,000",3000,Dante International,"Art. 6 GDPR, Art. 21 GDPR",Insufficient legal basis for data processing,link,2020
ETid-262,ROMANIA,2020-03-25,"3,000",3000,Enel Energie,Art. 32 GDPR,Insufficient technical and organisational measures to ensure information security,link,2020
ETid-241,ROMANIA,2020-02-11,"3,000",3000,Vodafone Romania,"Art. 5 (1) f) GDPR, Art. 32 GDPR",Insufficient technical and organisational measures to ensure information security,link,2020
ETid-207,SPAIN,2020-02-14,"3,000",3000,Colegio Arenales Carabanchel (School),Art. 6 GDPR,Insufficient legal basis for data processing,link,2020
ETid-172,SPAIN,2020-01-09,"3,000",3000,"Vodafone España, S.A.U.",Art. 58 GDPR,Insufficient cooperation with supervisory authority,link,2020
ETid-148,ROMANIA,2019-11-26,"3,000",3000,Modern Barber,Art. 58 GDPR,Insufficient cooperation with supervisory authority,link,2019
ETid-110,SPAIN,2019-11-13,"3,000",3000,General Confederation of Labour ('CGT'),Art. 6 GDPR,Insufficient legal basis for data processing,link,2019
ETid-62,ROMANIA,2019-07-05,"3,000",3000,LEGAL COMPANY & TAX HUB SRL,Art. 32 GDPR,Insufficient technical and organisational measures to ensure information security,link,2019
ETid-1793,SPAIN,2023-04-25,300,300,Private individual,Art. 5 (1) c) GDPR,Non-compliance with general data processing principles,link,2023
ETid-1782,GERMANY,2022,300,300,Police officer,Unknown,Insufficient legal basis for data processing,link,2022
ETid-1772,SPAIN,2023-04-13,300,300,Private individual,Art. 5 (1) c) GDPR,Non-compliance with general data processing principles,link,2023
ETid-1737,SPAIN,2023-04-03,300,300,Private individual,Art. 13 GDPR,Insufficient fulfilment of information obligations,link,2023
ETid-1735,SPAIN,2023-04-05,300,300,Private individual,Art. 13 GDPR,Insufficient fulfilment of information obligations,link,2023
ETid-1674,SPAIN,2023-02-21,300,300,Private individual,Art. 6 (1) GDPR,Insufficient legal basis for data processing,link,2023
ETid-1665,SPAIN,2023-02-21,300,300,PLANET COSTA DORADA SOCIEDAD LIMITADA,Art. 13 GDPR,Insufficient fulfilment of information obligations,link,2023
ETid-1662,SPAIN,2023-02-21,300,300,Private individual,Art. 5 (1) c) GDPR,Non-compliance with general data processing principles,link,2023
ETid-1661,SPAIN,2023-02-21,300,300,Private individual,Art. 5 (1) c) GDPR,Non-compliance with general data processing principles,link,2023
ETid-1660,SPAIN,2023-02-21,300,300,Private individual,Art. 13 GDPR,Insufficient fulfilment of information obligations,link,2023
ETid-1659,SPAIN,2023-02-21,300,300,COMANDANCIA DE LLEIDA,Art. 13 GDPR,Insufficient fulfilment of information obligations,link,2023
ETid-1596,SPAIN,2023-01-27,300,300,Private individual,Art. 5 (1) c) GDPR,Non-compliance with general data processing principles,link,2023
ETid-1580,SPAIN,2023-01-20,300,300,Private individual,Art. 5 (1) c) GDPR,Non-compliance with general data processing principles,link,2023
ETid-1560,SPAIN,2022-12-28,300,300,Store owner,Art. 13 GDPR,Insufficient fulfilment of information obligations,link,2022
ETid-1558,SPAIN,2023-01-09,300,300,Private individual,Art. 5 (1) c) GDPR,Non-compliance with general data processing principles,link,2023
ETid-1557,SPAIN,2023-01-10,300,300,Private individual,Art. 5 (1) c) GDPR,Non-compliance with general data processing principles,link,2023
ETid-1547,SPAIN,2022-12-28,300,300,Homeowners Association,Art. 13 GDPR,Insufficient fulfilment of information obligations,link,2022
ETid-1510,SPAIN,2022-12-03,300,300,Homeowners Association,Art. 5 (1) c) GDPR,Non-compliance with general data processing principles,link,2022
ETid-1499,SPAIN,2022-11-21,300,300,Private individual,Art. 5 (1) c) GDPR,Non-compliance with general data processing principles,link,2022
ETid-1497,ROMANIA,2022-11-18,300,300,Homeowners Association Bld. Pipera 1-2E,Art. 58 (1) GDPR,Insufficient cooperation with supervisory authority,link,2022
ETid-1488,SPAIN,2022-11-10,300,300,Private individual,Art. 5 (1) c) GDPR,Non-compliance with general data processing principles,link,2022
ETid-1384,SPAIN,2022-09-09,300,300,Private individual,Art. 5 (1) c) GDPR,Non-compliance with general data processing principles,link,2022
ETid-1381,SPAIN,2022-09-13,300,300,Private individual,Art. 5 (1) c) GDPR,Non-compliance with general data processing principles,link,2022
ETid-1311,SPAIN,2022-07-27,300,300,Private Person,Art. 5 (1) c) GDPR,Non-compliance with general data processing principles,link,2022
ETid-1272,SPAIN,2022-07-01,300,300,Private Individual,Art. 5 (1) c) GDPR,Non-compliance with general data processing principles,link,2022
ETid-1195,SPAIN,2022-06-01,300,300,Private individual,Art. 5 (1) c) GDPR,Non-compliance with general data processing principles,link,2022
ETid-1156,SPAIN,2022-05-10,300,300,Store owner,Art. 13 GDPR,Insufficient fulfilment of information obligations,link,2022
ETid-1036,GERMANY,2020,300,300,Police officer,"Art. 5 GDPR, Art. 6 GDPR",Insufficient legal basis for data processing,link,2020
ETid-1030,GERMANY,2020,300,300,Employee at a Covid 19 testing center,Art. 5 (1) a) GDPR,Non-compliance with general data processing principles,link,2020
ETid-939,GERMANY,Unknown,300,300,Unknown,Art. 6 GDPR,Insufficient legal basis for data processing,link,Unkn
ETid-3,AUSTRIA,2018-09-27,300,300,Private car owner,"Art. 5 (1) a) GDPR, Art. 6 GDPR",Insufficient legal basis for data processing,link,2018
ETid-486,SWEDEN,2020-12-15,"29,500",29500,Uppsalahem AB,"Art. 5 GDPR, Art. 6 (1) f) GDPR",Insufficient legal basis for data processing,link,2020
ETid-170,GERMANY,2019,"294,000",294000,Unknown,Art. 5 GDPR,Non-compliance with general data processing principles,link,2019
ETid-473,SWEDEN,2020-12-03,"2,900,000",2900000,Capio St. Göran AB,"Art. 5 (1) f) GDPR, Art. 5 (2) GDPR, Art. 32 (1) GDPR, Art. 32 (2) GDPR",Insufficient technical and organisational measures to ensure information security,link,2020
ETid-752,UNITED KINGDOM,2021-07-05,"29,000",29000,Mermaids,"Art. 5 (1) f) GDPR, Art. 32 (1), (2) GDPR",Insufficient technical and organisational measures to ensure information security,link,2021
ETid-898,ROMANIA,2021-11-14,"2,900",2900,Vodafone România SA,"Art. 32 (1) b) GDPR, Art. 32 (2) GDPR, Art. 3 (1) Law No. 506/2004, Art. 3 (3) a), b) Law No. 506/2004",Insufficient technical and organisational measures to ensure information security,link,2021
ETid-260,HUNGARY,2020-03-04,290,290,Representative of a local government,"Art. 5 GDPR, Art. 6 GDPR, Art. 12 GDPR, Art. 15 GDPR, Art. 17 GDPR",Insufficient legal basis for data processing,link,2020
ETid-303,HUNGARY,2020-03-26,"2,890",2890,Bank,"Art. 5 GDPR, Art. 6 GDPR",Insufficient legal basis for data processing,link,2020
ETid-313,HUNGARY,2020-06-12,"288,000",288000,Digi Távközlési Szolgáltató Kft. ('Digi') (electronic communication service provider),"Art. 5 (1) b), (e) GDPR, Art. 32 (1), (2) GDPR",Insufficient technical and organisational measures to ensure information security,link,2020
ETid-259,HUNGARY,2019-10-15,"2,860",2860,Unknown Company,"Art. 5 GDPR, Art. 6 GDPR, Art. 13 GDPR, Art. 24 GDPR, Art. 25 GDPR",Non-compliance with general data processing principles,link,2019
ETid-251,HUNGARY,2019-05-21,286,286,Directorate of Social and Child Welfare Institutions of the Ferencvaros District of Budapest,Art. 33 GDPR,Insufficient fulfilment of data breach notification obligations,link,2019
ETid-737,ITALY,2021-05-13,"2,856,169",2856169,Iren Mercato S.p.A.,"Art. 5 (1), (2) GDPR, Art. 6 (1) GDPR, Art. 7 (1) GDPR",Insufficient legal basis for data processing,link,2021
ETid-1293,CROATIA,2022-07-21,"285,000",285000,Telecommunications company,"Art. 25 (1) GDPR, Art. 32 (1) b) GDPR, Art. 32 (2) GDPR",Insufficient technical and organisational measures to ensure information security,link,2022
ETid-1013,SWEDEN,2022-01-26,"28,500",28500,Uppsala regional board,Art. 32 (1) GDPR,Insufficient technical and organisational measures to ensure information security,link link,2022
ETid-538,POLAND,2020-12-09,"2,850",2850,Smart Cities Sp. z o.o.,"Art. 31 GDPR, Art. 58 GDPR",Insufficient cooperation with supervisory authority,link,2020
ETid-255,HUNGARY,2019-06-26,"2,850",2850,Financial Enterprise,"Art. 5 GDPR, Art. 6 GDPR, Art. 21 GDPR",Insufficient legal basis for data processing,link,2019
ETid-254,HUNGARY,2019-06-26,"2,850",2850,Unknown,"Art. 5 GDPR, Art. 6 GDPR, Art. 17 GDPR",Insufficient legal basis for data processing,link,2019
ETid-253,HUNGARY,2019-06-03,"2,850",2850,Claim management company,"Art. 5 GDPR, Art. 6 GDPR",Insufficient legal basis for data processing,link,2019
ETid-813,HUNGARY,2021-06-18,"28,400",28400,Magyar Telekom Nyrt.,"Art. 5 (1) d) GDPR, Art. 6 (1) GDPR, Art. 12 (2), (3), (4) GDPR, Art. 17 (1) GDPR, Art. 25 GDPR",Insufficient fulfilment of data subjects rights,link,2021
ETid-140,BULGARIA,2019-09-03,"28,100",28100,National Revenue Agency,"Art. 6 (1) GDPR, Art. 58 (2) e) GDPR",Insufficient legal basis for data processing,link,2019
ETid-1495,ROMANIA,2022-11-16,"28,000",28000,Raiffeisen Bank SA,"Art. 25 (1) GDPR, Art. 32 (1), (2), (4) GDPR",Insufficient technical and organisational measures to ensure information security,link,2022
ETid-1023,BELGIUM,2022-01-27,"2,800",2800,EU DisinfoLab,"Art. 5 (1) a), c), f) GDPR, Art. 6 (1) GDPR, Art. 9 GDPR, Art. 12 GDPR, Art. 14 GDPR, Art. 30 GDPR, Art. 32 GDPR, Art. 35 GDPR",Non-compliance with general data processing principles,link link,2022
ETid-812,HUNGARY,2021-04-20,"2,800",2800,Website operator,"Art. 5 (2) GDPR, Art. 24 GDPR",Non-compliance with general data processing principles,link,2021
ETid-742,LUXEMBOURG,2021-04-08,"2,800",2800,Unknown,"Art. 5 (1) e) GDPR, Art. 13 GDPR",Non-compliance with general data processing principles,link,2021
ETid-523,HUNGARY,2020-11-18,28,28,Unknown,Art. 5 (1) d) GDPR,Non-compliance with general data processing principles,link,2020
ETid-409,HUNGARY,2020-07-16,28,28,Google Ireland Ltd.,"Art. 12 GDPR, Art. 15 GDPR",Insufficient fulfilment of data subjects rights,link,2020
ETid-189,ITALY,2020-01-15,"27,800,000",27800000,TIM (telecommunications operator),"Art. 5 GDPR, Art. 6 GDPR, Art. 17 GDPR, Art. 21 GDPR, Art. 32 GDPR",Insufficient legal basis for data processing,link,2020
ETid-666,HUNGARY,2021-03-24,"27,700",27700,Budapest Főváros Kormányhivatala XI. kerületi Hivatalát (11th District Public Health Department of the Government Office of the Capital City Budapest),"Art. 32 (1) a), b) GDPR, Art. 32 (2) GDPR, Art. 33 (1) GDPR, Art. 34 (1) GDPR",Insufficient technical and organisational measures to ensure information security,link,2021
ETid-292,NORWAY,2020-09-03,"276,000",276000,Bergen Municipality,"Art. 5 (1) f) GDPR, Art. 32 GDPR",Insufficient technical and organisational measures to ensure information security,link,2020
ETid-946,THE NETHERLANDS,2021-11-25,"2,750,000",2750000,Dutch Minister of Finance,"Art. 5 (1) a) GDPR, Art. 6 (1) e) GDPR, Art. 8 Wbp",Insufficient legal basis for data processing,link link,2021
ETid-917,ICELAND,2021-11-23,"27,200",27200,YAY ehf.,"Art. 5 GDPR, Art. 6 GDPR, Art. 28 GDPR, Art. 32 GDPR",Non-compliance with general data processing principles,link,2021
ETid-7,BULGARIA,2019-02-26,"27,100",27100,Telecommunication service provider,"Art. 6 GDPR, Art. 5 (1) a) GDPR",Insufficient legal basis for data processing,link,2019
ETid-730,DENMARK,2021-06-16,"27,000",27000,Vejle Municipality,Art. 32 GDPR,Insufficient technical and organisational measures to ensure information security,link,2021
ETid-49,SPAIN,Unknown,"27,000",27000,"Vodafone España, S.A.U.",Art. 5 (1) d) GDPR,Insufficient fulfilment of data subjects rights,link,Unkn
ETid-1825,HUNGARY,2022,"2,700",2700,Credit institution,"Art. 6 (1) GDPR, Art. 5 (2) GDPR",Insufficient legal basis for data processing,link,2022
ETid-1745,GERMANY,2022,"2,700",2700,Covid-19 test center,Art. 32 (1) GDPR,Insufficient technical and organisational measures to ensure information security,link,2022
ETid-631,CZECH REPUBLIC,2020,"2,700",2700,Mall.tv,"Art. 5 GDPR, Art. 6 GDPR",Insufficient legal basis for data processing,link,2020
ETid-1753,HUNGARY,2022-09-26,"26,700",26700,TV2 Média Csoport Zrt.,"Art. 5 (1) a), b) GDPR, Art. 6 (1) GDPR, Art. 12 (1) GDPR, Art. 13 GDPR",Non-compliance with general data processing principles,link link,2022
ETid-1595,CROATIA,2022-12-08,"2,654",2654,Retailer,Art. 27 (2) Croatian Act on the Implementation of the GDPR,Insufficient fulfilment of information obligations,link,2022
ETid-1594,CROATIA,2022-12-08,"2,654",2654,Jewelry manufacturer,Art. 27 (2) Croatian Act on the Implementation of the GDPR,Insufficient fulfilment of information obligations,link,2022
ETid-1592,CROATIA,2022-12-07,"2,654",2654,Retailer,Art. 27 (2) Croatian Act on the Implementation of the GDPR,Insufficient fulfilment of information obligations,link,2022
ETid-1502,IRELAND,2022-11-25,"265,000,000",265000000,Meta Platforms Ireland Limited,"Art. 25 (1), (2) GDPR",Insufficient technical and organisational measures to ensure information security,link link,2022
ETid-743,ITALY,2021-06-10,"2,600,000",2600000,Foodinho s.r.l.,"Art. 5 (1) a), c), e) GDPR, Art. 13 GDPR, Art. 22 (3) GDPR, Art. 25 GDPR, Art. 30 (1) a), b), c), f), g) GDPR, Art. 32 GDPR, Art. 35 GDPR, Art. 37 (7) GDPR",Non-compliance with general data processing principles,link,2021
ETid-71,BULGARIA,2019-08-28,"2,600,000",2600000,National Revenue Agency,Art. 32 GDPR,Insufficient technical and organisational measures to ensure information security,link,2019
ETid-1326,ITALY,2022-08-01,"26,000",26000,Policoro municipality,"Art. 5 (1) a), e) GDPR, Art. 5 (2) GDPR, Art. 12 GDPR, Art. 13 GDPR, Art. 24 GDPR, Art. 38 (6) GDPR",Non-compliance with general data processing principles,link,2022
ETid-713,LUXEMBOURG,2021-05-12,"2,600",2600,Unknown,"Art. 5 (1) c) GDPR, Art. 13 GDPR",Non-compliance with general data processing principles,link,2021
ETid-269,BULGARIA,2020-02-20,"2,560",2560,L.E. EOOD,"Art. 25 (1) GDPR, Art. 32 GDPR, Art. 6 GDPR",Insufficient technical and organisational measures to ensure information security,link,2020
ETid-268,BULGARIA,2020-02-20,"2,560",2560,T.K. EOOD,"Art. 25 (1) GDPR, Art. 32 GDPR",Insufficient technical and organisational measures to ensure information security,link,2020
ETid-1804,HUNGARY,2023-04-12,"253,000",253000,Aldi,Unknown,Non-compliance with general data processing principles,link,2023
ETid-777,SPAIN,2021-07-26,"2,520,000",2520000,Mercadona S.A.,"Art. 5 (1) c) GDPR, Art. 6 GDPR, Art. 9 GDPR, Art. 12 GDPR, Art. 13 GDPR, Art. 25 (1) GDPR, Art. 35 GDPR",Insufficient legal basis for data processing,link,2021
ETid-790,ITALY,2021-07-22,"2,500,000",2500000,Deliveroo Italy s.r.l.,"Art. 5 (1) a), c), e) GDPR, Art. 13 GDPR, Art. 22 (3) GDPR, Art. 25 GDPR, Art. 30 (1) c), f), g) GDPR, Art. 32 GDPR, Art. 35 GDPR, Art. 37 (7) GDPR",Non-compliance with general data processing principles,link,2021
ETid-1835,MALTA,2022,"250,000",250000,Unknown,"Art. 32 (1), (2) GDPR",Insufficient technical and organisational measures to ensure information security,link,2022
